yvals,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
Jan,1573.5,1712.45,1795.25,1834.35,1824.35,1817.3,1790.85,1783.35,1785.3,1780.3,1779.95,1783.65,1747.6,1778.05,1754.7,1786.7,1787.55,1776.9,1777.55,1783.1,1756.6,1767.85,1797.6,1767.55,1771.55,1765.6,1765.3,1770.1,1775.15,1778.05,1783
Feb,1796.35,1770.5,1777.9,1779.75,1778,1800.45,1796.7,1776.7,1760.3,1793.35,1780.4,1788.25,1760.7,1811.4,1788.45,1783.95,1777.65,1789.3,1779.2,1789.55,1799,1780.75,1778.95,1795.65,1796.75,1776.15,1809.25,1822.9,1788.2,null,null
Mar,1812.6,1775.35,1789.8,1800.7,1800.9,1818,1808.45,1779.4,1766.95,1769.6,1782,1782.5,1782.45,1796.8,1772.9,1756.65,1771.5,1765.5,1787.9,1795.2,1777,1770.7,1746.9,1772.7,1755.65,1776.25,1794.65,1779.95,1748,1745.55,1767.95
Apr,1702.3,1755.25,1797.9,1805.9,1741.4,1738.05,1786.7,1764.55,1766.4,1786.3,1796.35,1772.65,1707.8,1748.9,1770.25,1794.3,1784.9,1783.65,1800.75,1767.45,1744.5,1767.4,1800.6,1784,1779.6,1810.2,1798.45,1807.1,1788.9,1811.35,null
May,1816.4,1811.6,1785.75,1776.2,1757.5,1765.1,1791.7,1829.25,1829.65,1826.5,1796.65,1804.9,1783.45,1833.85,1839.7,1825.7,1822.95,1811.15,1813.2,1806.4,1831.45,1854.7,1859.75,1837.95,1784.9,1766.25,1803.15,1818.15,1787.7,1808.4,1790.5
Jun,1820.85,1818.65,1817.4,1797.65,1834.15,1836.15,1823.3,1802.15,1817.55,1829.05,1851.5,1845.4,1811.2,1830.85,1814.6,1845.75,1830.9,1843.8,1868.85,1869.9,1840.2,1820.7,1830.35,1828.5,1857.1,1847.95,1874.05,1837.05,1827.8,1853.4,null
Jul,1856.55,1885.05,1874,1882.35,1837.1,1822.05,1847.05,1854.8,1858.7,1887.75,1875.65,1859.05,1813.95,1863.55,1861.55,1873.5,1889.9,1892.65,1860.25,1828.85,1856.65,1854.45,1890.15,1888.35,1885.1,1862.6,1848.3,1857.65,1858,1860.75,1867.25
Aug,1861.8,1840.85,1837.4,1839.45,1852.5,1857.7,1847.05,1882.85,1851.75,1838.3,1848.5,1866.7,1816.05,1853.2,1867.8,1834.55,1814.65,1836.15,1830.95,1859.75,1860.9,1856.2,1831.7,1818.3,1751.95,1779.6,1774,1802.15,1803.95,1782.65,1773.15
Sep,1809.6,1834.15,1858.7,1856.65,1875.15,1843.6,1844.35,1863.95,1877.75,1873.1,1888.7,1894.9,1855.15,1879.75,1890.3,1898.4,1920.8,1943.2,1945.85,1922.3,1912.95,1931.8,1948.65,1958.3,1965.15,1973.5,1957.2,1924.8,1934.2,1952.35,null
Oct,1950.55,1940.05,1921.95,1904.85,1877.45,1871.75,1873.5,1861.3,1885.75,1885.85,1847.95,1836.6,1790.95,1831.25,1835.55,1827.7,1819.35,1830.05,1785,1790.2,1808.6,1818.65,1801.45,1817.85,1801.3,1779.5,1770.3,1795.45,1804.25,1803.95,1803
Nov,1813.5,1787.2,1794.7,1811.6,1821.95,1831,1837.45,1827.2,1811.5,1798,1826.5,1853.95,1829.8,1834.3,1822.3,1782.4,1795.35,1805.8,1819.75,1819.1,1814.85,1778.95,1765.75,1766.6,1757.45,1790.8,1772.3,1785.95,1771.05,1726.8,null
Dec,1757.3,1750.6,1785.85,1790.2,1787.65,1760.75,1750.2,1764.7,1762.15,1786.95,1796.95,1810.6,1751.25,1769,1783.3,1808.95,1835.1,1856.7,1862.55,1864,1834.75,1828.7,1801,1700.55,1422.4,1358.95,1673.15,1732.95,1857.25,1876.95,1832.75